Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Wajir County,0.0,0.0,938.0,0.0,9.0,638.0,25.0,6,938.0,0.0
West Pokot County,1.0,71.0,0.0,0.0,0.0,0.0,46.0,6,0.0,0.0
Baringo County,7.0,46.0,0.0,72.0,0.0,0.0,0.0,7,72.0,1.0
Bomet County,11.0,0.0,3484.0,107.0,0.0,0.0,111.0,7,3591.0,0.02979671400724032
Bungoma County,16.0,288.0,5254.0,0.0,0.0,3222.0,84.0,7,5254.0,0.0
Busia County,10.0,0.0,0.0,203.0,151.0,1595.0,123.0,7,203.0,1.0
Elgeyo Marakwet County,0.0,0.0,703.0,0.0,0.0,0.0,8.0,7,703.0,0.0
Embu County,3.0,0.0,0.0,99.0,132.0,0.0,48.0,7,99.0,1.0
Garissa County,2.0,0.0,1393.0,0.0,0.0,1065.0,0.0,7,1393.0,0.0
Homa Bay County,66.0,0.0,17489.0,0.0,827.0,0.0,0.0,7,17489.0,0.0
Isiolo County,0.0,0.0,0.0,10.0,25.0,0.0,1.0,7,10.0,1.0
Kajiado County,5.0,148.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Kakamega County,15.0,0.0,0.0,0.0,218.0,0.0,86.0,7,0.0,0.0
Kericho County,4.0,108.0,2749.0,0.0,153.0,1534.0,53.0,7,2749.0,0.0
Kiambu County,18.0,408.0,16069.0,389.0,1197.0,6759.0,0.0,7,16458.0,0.02363592174018714
Kilifi County,0.0,218.0,0.0,231.0,848.0,4771.0,0.0,7,231.0,1.0
Kirinyaga County,5.0,84.0,7213.0,98.0,254.0,3719.0,0.0,7,7311.0,0.01340445903433183
Kisii County,0.0,0.0,7150.0,0.0,0.0,2813.0,140.0,7,7150.0,0.0
Kisumu County,37.0,729.0,15649.0,0.0,635.0,3465.0,394.0,7,15649.0,0.0
Kitui County,11.0,140.0,0.0,172.0,177.0,0.0,0.0,7,172.0,1.0
Kwale County,138.0,107.0,0.0,0.0,604.0,0.0,9.0,7,0.0,0.0
Laikipia County,12.0,0.0,0.0,0.0,0.0,0.0,9.0,7,0.0,0.0
Lamu County,0.0,0.0,0.0,9.0,0.0,0.0,12.0,7,9.0,1.0
Machakos County,16.0,0.0,8568.0,223.0,261.0,3605.0,153.0,7,8791.0,0.02536685246274599
Mandera County,0.0,2.0,0.0,2.0,0.0,606.0,5.0,7,2.0,1.0
Marsabit County,2.0,0.0,0.0,14.0,0.0,0.0,0.0,7,14.0,1.0
Meru County,0.0,211.0,6248.0,0.0,336.0,3909.0,51.0,7,6248.0,0.0
Migori County,149.0,576.0,20924.0,563.0,0.0,8399.0,69.0,7,21487.0,0.026201889514590217
Mombasa County,15.0,0.0,15398.0,385.0,0.0,0.0,0.0,7,15783.0,0.024393334600519546
Muranga County,7.0,131.0,0.0,89.0,318.0,0.0,112.0,7,89.0,1.0
Nairobi County,0.0,0.0,37732.0,0.0,2353.0,15724.0,0.0,7,37732.0,0.0
Nakuru County,21.0,0.0,0.0,0.0,0.0,0.0,197.0,7,0.0,0.0
Narok County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Nyamira County,0.0,0.0,0.0,176.0,235.0,0.0,0.0,7,176.0,1.0
Nyandarua County,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Nyeri County,0.0,114.0,0.0,122.0,325.0,1897.0,0.0,7,122.0,1.0
Samburu County,6.0,0.0,0.0,64.0,51.0,0.0,56.0,7,64.0,1.0
Siaya County,0.0,0.0,9705.0,433.0,0.0,1731.0,184.0,7,10138.0,0.042710593805484316
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Tana River County,1.0,0.0,1531.0,0.0,0.0,0.0,29.0,7,1531.0,0.0
Tharaka Nithi County,2.0,0.0,2543.0,0.0,0.0,1164.0,0.0,7,2543.0,0.0
Trans Nzoia County,12.0,0.0,3398.0,0.0,171.0,0.0,0.0,7,3398.0,0.0
Turkana County,15.0,187.0,11295.0,124.0,0.0,5233.0,812.0,7,11419.0,0.010859094491636747
Uasin Gishu County,13.0,0.0,7380.0,263.0,0.0,2825.0,0.0,7,7643.0,0.03441057176501374
Vihiga County,19.0,0.0,3428.0,122.0,176.0,1833.0,0.0,7,3550.0,0.03436619718309859
Wajir County,0.0,0.0,895.0,0.0,8.0,562.0,0.0,7,895.0,0.0
West Pokot County,3.0,60.0,0.0,0.0,0.0,0.0,17.0,7,0.0,0.0
Baringo County,2.0,34.0,0.0,60.0,0.0,0.0,0.0,8,60.0,1.0
Bomet County,8.0,0.0,3650.0,93.0,0.0,0.0,70.0,8,3743.0,0.024846379909163774
Bungoma County,18.0,279.0,6054.0,0.0,0.0,2496.0,581.0,8,6054.0,0.0
Busia County,6.0,0.0,0.0,217.0,151.0,1933.0,972.0,8,217.0,1.0
Elgeyo Marakwet County,1.0,0.0,1387.0,0.0,0.0,0.0,57.0,8,1387.0,0.0
Embu County,1.0,0.0,0.0,77.0,121.0,0.0,90.0,8,77.0,1.0
Garissa County,1.0,0.0,1082.0,0.0,0.0,786.0,0.0,8,1082.0,0.0
Homa Bay County,264.0,0.0,19098.0,0.0,902.0,0.0,0.0,8,19098.0,0.0
Isiolo County,0.0,0.0,0.0,14.0,18.0,0.0,72.0,8,14.0,1.0
Kajiado County,20.0,158.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Kakamega County,5.0,0.0,0.0,0.0,120.0,0.0,453.0,8,0.0,0.0
Kericho County,8.0,114.0,2638.0,0.0,149.0,1513.0,313.0,8,2638.0,0.0
Kiambu County,27.0,387.0,16111.0,377.0,1263.0,7503.0,0.0,8,16488.0,0.022865114022319263
Kilifi County,0.0,219.0,0.0,266.0,538.0,4500.0,0.0,8,266.0,1.0
Kirinyaga County,1.0,83.0,7317.0,73.0,294.0,4149.0,0.0,8,7390.0,0.009878213802435724
Kisii County,0.0,0.0,6592.0,0.0,0.0,3003.0,1142.0,8,6592.0,0.0
Kisumu County,17.0,766.0,13064.0,0.0,670.0,3010.0,3058.0,8,13064.0,0.0
Kitui County,11.0,158.0,0.0,163.0,240.0,0.0,0.0,8,163.0,1.0
Kwale County,20.0,75.0,0.0,0.0,546.0,0.0,6.0,8,0.0,0.0
Laikipia County,7.0,0.0,0.0,0.0,0.0,0.0,257.0,8,0.0,0.0
Lamu County,0.0,0.0,0.0,13.0,0.0,0.0,167.0,8,13.0,1.0
Machakos County,16.0,0.0,9175.0,229.0,278.0,3417.0,118.0,8,9404.0,0.02435133985538069
Mandera County,0.0,6.0,0.0,9.0,0.0,577.0,7.0,8,9.0,1.0
Marsabit County,1.0,0.0,0.0,16.0,0.0,0.0,15.0,8,16.0,1.0
Meru County,0.0,164.0,6815.0,0.0,343.0,4293.0,268.0,8,6815.0,0.0
Migori County,72.0,554.0,21865.0,550.0,0.0,8984.0,981.0,8,22415.0,0.024537140307829577
Mombasa County,20.0,0.0,14641.0,428.0,0.0,0.0,0.0,8,15069.0,0.028402681000729974
Muranga County,7.0,98.0,0.0,97.0,347.0,0.0,247.0,8,97.0,1.0
Nairobi County,0.0,0.0,42852.0,0.0,2613.0,17429.0,0.0,8,42852.0,0.0
Nakuru County,26.0,0.0,0.0,0.0,0.0,0.0,1053.0,8,0.0,0.0
Narok County,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Nyamira County,0.0,0.0,0.0,136.0,281.0,0.0,0.0,8,136.0,1.0
Nyandarua County,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Nyeri County,0.0,89.0,0.0,111.0,289.0,1345.0,259.0,8,111.0,1.0
Samburu County,0.0,0.0,0.0,33.0,22.0,0.0,64.0,8,33.0,1.0
Siaya County,0.0,0.0,7226.0,353.0,0.0,1209.0,1249.0,8,7579.0,0.04657606544398997
Taita Taveta County,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Tana River County,1.0,0.0,1178.0,0.0,0.0,0.0,35.0,8,1178.0,0.0
Tharaka Nithi County,1.0,0.0,3216.0,0.0,0.0,1400.0,0.0,8,3216.0,0.0
Trans Nzoia County,11.0,0.0,3073.0,0.0,102.0,0.0,0.0,8,3073.0,0.0
Turkana County,19.0,170.0,21416.0,281.0,0.0,9722.0,635.0,8,21697.0,0.012951099230308337
Uasin Gishu County,9.0,0.0,7331.0,250.0,0.0,2618.0,0.0,8,7581.0,0.032977179791584224
Vihiga County,4.0,0.0,3513.0,100.0,162.0,1735.0,0.0,8,3613.0,0.027677830058123444
Wajir County,0.0,0.0,766.0,0.0,7.0,616.0,0.0,8,766.0,0.0
West Pokot County,3.0,80.0,0.0,0.0,0.0,0.0,96.0,8,0.0,0.0
Baringo County,3.0,37.0,0.0,72.0,0.0,0.0,0.0,9,72.0,1.0
Bomet County,4.0,0.0,4511.0,132.0,0.0,0.0,61.0,9,4643.0,0.0284298944647857
Bungoma County,13.0,275.0,6145.0,0.0,0.0,3378.0,895.0,9,6145.0,0.0
Busia County,6.0,0.0,0.0,173.0,188.0,1982.0,1352.0,9,173.0,1.0
Elgeyo Marakwet County,0.0,0.0,1230.0,0.0,0.0,0.0,157.0,9,1230.0,0.0
Embu County,2.0,0.0,0.0,88.0,114.0,0.0,205.0,9,88.0,1.0
Garissa County,2.0,0.0,1485.0,0.0,0.0,1088.0,0.0,9,1485.0,0.0
Homa Bay County,39.0,0.0,12190.0,0.0,643.0,0.0,0.0,9,12190.0,0.0
Isiolo County,1.0,0.0,0.0,36.0,26.0,0.0,217.0,9,36.0,1.0
Kajiado County,10.0,198.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Kakamega County,17.0,0.0,0.0,0.0,252.0,0.0,1047.0,9,0.0,0.0
Kericho County,6.0,112.0,2908.0,0.0,154.0,1719.0,3180.0,9,2908.0,0.0
Kiambu County,28.0,345.0,16653.0,333.0,1192.0,7338.0,0.0,9,16986.0,0.019604380077711057
Kilifi County,0.0,260.0,0.0,344.0,474.0,5778.0,0.0,9,344.0,1.0
Kirinyaga County,7.0,57.0,7968.0,86.0,285.0,4402.0,0.0,9,8054.0,0.010677924012912838
Kisii County,0.0,0.0,6620.0,0.0,0.0,2909.0,2617.0,9,6620.0,0.0
Kisumu County,9.0,759.0,13444.0,0.0,532.0,2971.0,3009.0,9,13444.0,0.0
Kitui County,5.0,159.0,0.0,116.0,187.0,0.0,0.0,9,116.0,1.0
Kwale County,6.0,100.0,0.0,0.0,672.0,0.0,346.0,9,0.0,0.0
Laikipia County,7.0,0.0,0.0,0.0,0.0,0.0,584.0,9,0.0,0.0
Lamu County,1.0,0.0,0.0,17.0,0.0,0.0,362.0,9,17.0,1.0
Machakos County,16.0,0.0,8078.0,204.0,225.0,3530.0,315.0,9,8282.0,0.02463173146582951
Mandera County,0.0,7.0,0.0,8.0,0.0,446.0,13.0,9,8.0,1.0
Marsabit County,0.0,0.0,0.0,10.0,0.0,0.0,41.0,9,10.0,1.0
Meru County,0.0,179.0,6694.0,0.0,383.0,4003.0,500.0,9,6694.0,0.0
Migori County,17.0,566.0,18349.0,409.0,0.0,6761.0,1851.0,9,18758.0,0.02180403028041369
Mombasa County,24.0,0.0,16115.0,417.0,0.0,0.0,0.0,9,16532.0,0.025223808371642873
Muranga County,3.0,72.0,0.0,103.0,400.0,0.0,372.0,9,103.0,1.0
Nairobi County,0.0,0.0,47738.0,0.0,2584.0,18222.0,0.0,9,47738.0,0.0
Nakuru County,28.0,0.0,0.0,0.0,0.0,0.0,1354.0,9,0.0,0.0
Narok County,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Nyamira County,0.0,0.0,0.0,99.0,284.0,0.0,0.0,9,99.0,1.0
Nyandarua County,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Nyeri County,0.0,112.0,0.0,93.0,305.0,2417.0,536.0,9,93.0,1.0
Samburu County,1.0,0.0,0.0,38.0,42.0,0.0,42.0,9,38.0,1.0
Siaya County,0.0,0.0,11676.0,440.0,0.0,1703.0,1853.0,9,12116.0,0.036315615714757346
Taita Taveta County,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Tana River County,0.0,0.0,1528.0,0.0,0.0,0.0,25.0,9,1528.0,0.0
Tharaka Nithi County,3.0,0.0,3621.0,0.0,0.0,1215.0,0.0,9,3621.0,0.0
Trans Nzoia County,19.0,0.0,3618.0,0.0,115.0,0.0,0.0,9,3618.0,0.0
Turkana County,28.0,213.0,23731.0,245.0,0.0,9830.0,1027.0,9,23976.0,0.010218551885218552
Uasin Gishu County,5.0,0.0,8611.0,285.0,0.0,2786.0,0.0,9,8896.0,0.032036870503597124
Vihiga County,6.0,0.0,3899.0,104.0,175.0,1518.0,0.0,9,4003.0,0.025980514614039472
Wajir County,0.0,0.0,971.0,0.0,9.0,728.0,0.0,9,971.0,0.0
West Pokot County,0.0,70.0,0.0,0.0,0.0,0.0,429.0,9,0.0,0.0
Baringo County,3.0,71.0,0.0,58.0,0.0,0.0,0.0,10,58.0,1.0
Bomet County,6.0,0.0,5069.0,94.0,0.0,0.0,103.0,10,5163.0,0.01820646910710827
Bungoma County,6.0,265.0,3097.0,0.0,0.0,1891.0,534.0,10,3097.0,0.0
Busia County,6.0,0.0,0.0,147.0,144.0,1432.0,823.0,10,147.0,1.0
Elgeyo Marakwet County,3.0,0.0,1149.0,0.0,0.0,0.0,55.0,10,1149.0,0.0
Embu County,0.0,0.0,0.0,45.0,56.0,0.0,82.0,10,45.0,1.0
Garissa County,0.0,0.0,896.0,0.0,0.0,784.0,0.0,10,896.0,0.0
Homa Bay County,64.0,0.0,14023.0,0.0,757.0,0.0,0.0,10,14023.0,0.0
Isiolo County,0.0,0.0,0.0,9.0,21.0,0.0,203.0,10,9.0,1.0
Kajiado County,11.0,161.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
Kakamega County,15.0,0.0,0.0,0.0,183.0,0.0,659.0,10,0.0,0.0
Kericho County,5.0,114.0,2582.0,0.0,136.0,1462.0,843.0,10,2582.0,0.0
Kiambu County,75.0,354.0,14696.0,353.0,1206.0,6324.0,0.0,10,15049.0,0.023456708086916075
Kilifi County,0.0,243.0,0.0,274.0,472.0,4983.0,0.0,10,274.0,1.0
Kirinyaga County,3.0,64.0,6396.0,79.0,224.0,3006.0,0.0,10,6475.0,0.012200772200772201
Kisii County,0.0,0.0,6088.0,0.0,0.0,2824.0,2927.0,10,6088.0,0.0
Kisumu County,20.0,712.0,12044.0,0.0,540.0,3250.0,3623.0,10,12044.0,0.0
Kitui County,9.0,176.0,0.0,159.0,201.0,0.0,0.0,10,159.0,1.0
Kwale County,10.0,93.0,0.0,0.0,543.0,0.0,192.0,10,0.0,0.0
Laikipia County,4.0,0.0,0.0,0.0,0.0,0.0,355.0,10,0.0,0.0
Lamu County,0.0,0.0,0.0,15.0,0.0,0.0,99.0,10,15.0,1.0
Machakos County,15.0,0.0,8191.0,208.0,345.0,3544.0,348.0,10,8399.0,0.02476485295868556
Mandera County,0.0,3.0,0.0,4.0,0.0,882.0,15.0,10,4.0,1.0
Marsabit County,0.0,0.0,0.0,12.0,0.0,0.0,6.0,10,12.0,1.0
Meru County,0.0,237.0,5589.0,0.0,329.0,3554.0,224.0,10,5589.0,0.0
Migori County,22.0,521.0,19836.0,517.0,0.0,7585.0,1916.0,10,20353.0,0.02540166068884194
Mombasa County,25.0,0.0,14140.0,426.0,0.0,0.0,0.0,10,14566.0,0.029246189756968282
Muranga County,4.0,102.0,0.0,108.0,370.0,0.0,337.0,10,108.0,1.0
Nairobi County,0.0,0.0,43020.0,0.0,2376.0,16911.0,0.0,10,43020.0,0.0
Nakuru County,20.0,0.0,0.0,0.0,0.0,0.0,1307.0,10,0.0,0.0
Narok County,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
Nyamira County,0.0,0.0,0.0,183.0,262.0,0.0,0.0,10,183.0,1.0
Nyandarua County,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
Nyeri County,0.0,86.0,0.0,109.0,275.0,2166.0,880.0,10,109.0,1.0
Samburu County,0.0,0.0,0.0,34.0,37.0,0.0,54.0,10,34.0,1.0
Siaya County,0.0,0.0,12274.0,495.0,0.0,2221.0,2950.0,10,12769.0,0.0387657608270029
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
Tana River County,1.0,0.0,1528.0,0.0,0.0,0.0,59.0,10,1528.0,0.0
Tharaka Nithi County,1.0,0.0,2279.0,0.0,0.0,1184.0,0.0,10,2279.0,0.0
Trans Nzoia County,13.0,0.0,2135.0,0.0,102.0,0.0,0.0,10,2135.0,0.0
Turkana County,6.0,220.0,12324.0,135.0,0.0,5078.0,625.0,10,12459.0,0.010835540573079701
Uasin Gishu County,4.0,0.0,7502.0,248.0,0.0,2469.0,0.0,10,7750.0,0.032
Vihiga County,4.0,0.0,2776.0,108.0,160.0,1242.0,0.0,10,2884.0,0.03744798890429958
Wajir County,0.0,0.0,768.0,0.0,4.0,687.0,0.0,10,768.0,0.0
West Pokot County,0.0,67.0,0.0,0.0,0.0,0.0,481.0,10,0.0,0.0
Baringo County,0.0,48.0,0.0,57.0,0.0,0.0,0.0,11,57.0,1.0
Bomet County,53.0,0.0,5017.0,98.0,0.0,0.0,7.0,11,5115.0,0.019159335288367548
Bungoma County,1.0,194.0,1814.0,0.0,0.0,1022.0,177.0,11,1814.0,0.0
Busia County,9.0,0.0,0.0,154.0,90.0,968.0,912.0,11,154.0,1.0
Elgeyo Marakwet County,0.0,0.0,1056.0,0.0,0.0,0.0,38.0,11,1056.0,0.0
Embu County,2.0,0.0,0.0,89.0,112.0,0.0,54.0,11,89.0,1.0
Garissa County,0.0,0.0,910.0,0.0,0.0,594.0,0.0,11,910.0,0.0
Homa Bay County,53.0,0.0,17542.0,0.0,867.0,0.0,0.0,11,17542.0,0.0
Isiolo County,0.0,0.0,0.0,10.0,10.0,0.0,63.0,11,10.0,1.0
Kajiado County,6.0,162.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
Kakamega County,9.0,0.0,0.0,0.0,114.0,0.0,602.0,11,0.0,0.0
Kericho County,3.0,143.0,2895.0,0.0,136.0,1812.0,559.0,11,2895.0,0.0
Kiambu County,23.0,364.0,15839.0,382.0,1170.0,5952.0,0.0,11,16221.0,0.02354971949941434
Kilifi County,0.0,270.0,0.0,238.0,298.0,4109.0,0.0,11,238.0,1.0
Kirinyaga County,4.0,54.0,6120.0,102.0,226.0,2966.0,0.0,11,6222.0,0.01639344262295082
Kisii County,0.0,0.0,4931.0,0.0,0.0,2761.0,3152.0,11,4931.0,0.0
Kisumu County,37.0,593.0,12275.0,0.0,516.0,3103.0,5356.0,11,12275.0,0.0
Kitui County,42.0,181.0,0.0,180.0,188.0,0.0,0.0,11,180.0,1.0
Kwale County,8.0,100.0,0.0,0.0,430.0,0.0,213.0,11,0.0,0.0
Laikipia County,5.0,0.0,0.0,0.0,0.0,0.0,236.0,11,0.0,0.0
Lamu County,2.0,0.0,0.0,14.0,0.0,0.0,220.0,11,14.0,1.0
Machakos County,25.0,0.0,8467.0,215.0,306.0,3746.0,640.0,11,8682.0,0.024763879290486065
Mandera County,0.0,6.0,0.0,6.0,0.0,792.0,0.0,11,6.0,1.0
Marsabit County,0.0,0.0,0.0,6.0,0.0,0.0,19.0,11,6.0,1.0
Meru County,0.0,182.0,5469.0,0.0,291.0,2857.0,236.0,11,5469.0,0.0
Migori County,20.0,522.0,19108.0,570.0,0.0,7652.0,3444.0,11,19678.0,0.028966358369753024
Mombasa County,25.0,0.0,14987.0,447.0,0.0,0.0,0.0,11,15434.0,0.02896203187767267
Muranga County,8.0,61.0,0.0,98.0,307.0,0.0,741.0,11,98.0,1.0
Nairobi County,0.0,0.0,47230.0,0.0,2489.0,17826.0,0.0,11,47230.0,0.0
Nakuru County,14.0,0.0,0.0,0.0,0.0,0.0,817.0,11,0.0,0.0
Narok County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
Nyamira County,0.0,0.0,0.0,159.0,148.0,0.0,0.0,11,159.0,1.0
Nyandarua County,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
Nyeri County,0.0,79.0,0.0,103.0,147.0,1015.0,1528.0,11,103.0,1.0
Samburu County,3.0,0.0,0.0,24.0,32.0,0.0,7.0,11,24.0,1.0
Siaya County,0.0,0.0,6293.0,498.0,0.0,1847.0,6278.0,11,6791.0,0.07333235164187896
Taita Taveta County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
Tana River County,0.0,0.0,1367.0,0.0,0.0,0.0,112.0,11,1367.0,0.0
Tharaka Nithi County,3.0,0.0,3406.0,0.0,0.0,1926.0,0.0,11,3406.0,0.0
Trans Nzoia County,2.0,0.0,1369.0,0.0,102.0,0.0,0.0,11,1369.0,0.0
Turkana County,16.0,288.0,12413.0,104.0,0.0,5353.0,2445.0,11,12517.0,0.00830870016777183
Uasin Gishu County,4.0,0.0,5652.0,213.0,0.0,2027.0,0.0,11,5865.0,0.03631713554987212
Vihiga County,9.0,0.0,2834.0,119.0,89.0,1601.0,0.0,11,2953.0,0.040298002031832036
Wajir County,2.0,0.0,858.0,0.0,9.0,684.0,0.0,11,858.0,0.0
West Pokot County,1.0,56.0,0.0,0.0,0.0,0.0,302.0,11,0.0,0.0
Baringo County,0.0,50.0,0.0,58.0,0.0,0.0,0.0,12,58.0,1.0
Bomet County,3.0,0.0,5817.0,74.0,0.0,0.0,22.0,12,5891.0,0.012561534544219996
Bungoma County,4.0,236.0,2402.0,0.0,0.0,1406.0,163.0,12,2402.0,0.0
Busia County,5.0,0.0,0.0,123.0,154.0,894.0,341.0,12,123.0,1.0
Elgeyo Marakwet County,0.0,0.0,611.0,0.0,0.0,0.0,18.0,12,611.0,0.0
Embu County,1.0,0.0,0.0,68.0,148.0,0.0,51.0,12,68.0,1.0
Garissa County,0.0,0.0,463.0,0.0,0.0,405.0,0.0,12,463.0,0.0
Homa Bay County,55.0,0.0,10981.0,0.0,586.0,0.0,0.0,12,10981.0,0.0
Isiolo County,0.0,0.0,0.0,3.0,8.0,0.0,10.0,12,3.0,1.0
Kajiado County,10.0,151.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0
Kakamega County,23.0,0.0,0.0,0.0,170.0,0.0,306.0,12,0.0,0.0
Kericho County,5.0,122.0,2842.0,0.0,181.0,1473.0,207.0,12,2842.0,0.0
Kiambu County,12.0,351.0,12399.0,252.0,1023.0,5156.0,0.0,12,12651.0,0.019919373962532606
Kilifi County,0.0,319.0,0.0,143.0,362.0,3811.0,0.0,12,143.0,1.0
Kirinyaga County,4.0,66.0,4862.0,61.0,187.0,2851.0,0.0,12,4923.0,0.012390818606540727
Kisii County,0.0,0.0,5326.0,0.0,0.0,2177.0,1526.0,12,5326.0,0.0
Kisumu County,21.0,529.0,13000.0,0.0,544.0,2866.0,2407.0,12,13000.0,0.0
Kitui County,15.0,114.0,0.0,127.0,120.0,0.0,0.0,12,127.0,1.0
Kwale County,3.0,74.0,0.0,0.0,361.0,0.0,150.0,12,0.0,0.0
Laikipia County,1.0,0.0,0.0,0.0,0.0,0.0,193.0,12,0.0,0.0
Lamu County,0.0,0.0,0.0,15.0,0.0,0.0,328.0,12,15.0,1.0
Machakos County,13.0,0.0,5640.0,170.0,191.0,2711.0,239.0,12,5810.0,0.029259896729776247
Mandera County,0.0,6.0,0.0,1.0,0.0,421.0,56.0,12,1.0,1.0
Marsabit County,0.0,0.0,0.0,2.0,0.0,0.0,6.0,12,2.0,1.0
Meru County,0.0,167.0,7567.0,0.0,312.0,3970.0,363.0,12,7567.0,0.0
Migori County,32.0,389.0,14084.0,339.0,0.0,5513.0,2363.0,12,14423.0,0.023504125355335227
Mombasa County,22.0,0.0,11805.0,238.0,0.0,0.0,0.0,12,12043.0,0.01976251764510504
Muranga County,5.0,74.0,0.0,103.0,360.0,0.0,789.0,12,103.0,1.0
Nairobi County,0.0,0.0,33621.0,0.0,2160.0,13110.0,0.0,12,33621.0,0.0
Nakuru County,23.0,0.0,0.0,0.0,0.0,0.0,405.0,12,0.0,0.0
Narok County,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0
Nyamira County,0.0,0.0,0.0,156.0,168.0,0.0,0.0,12,156.0,1.0
Nyandarua County,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0
Nyeri County,0.0,92.0,0.0,90.0,192.0,1061.0,1033.0,12,90.0,1.0
Samburu County,1.0,0.0,0.0,11.0,10.0,0.0,13.0,12,11.0,1.0
Siaya County,0.0,0.0,8710.0,499.0,0.0,1526.0,4538.0,12,9209.0,0.054186122271690736
Taita Taveta County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0
Tana River County,0.0,0.0,879.0,0.0,0.0,0.0,65.0,12,879.0,0.0
Tharaka Nithi County,0.0,0.0,2951.0,0.0,0.0,995.0,0.0,12,2951.0,0.0
Trans Nzoia County,1.0,0.0,1153.0,0.0,115.0,0.0,0.0,12,1153.0,0.0
Turkana County,15.0,346.0,9851.0,87.0,0.0,4225.0,1985.0,12,9938.0,0.008754276514389214
Uasin Gishu County,2.0,0.0,3566.0,126.0,0.0,1300.0,0.0,12,3692.0,0.03412784398699892
Vihiga County,14.0,0.0,2759.0,136.0,160.0,1471.0,0.0,12,2895.0,0.04697754749568221
Wajir County,0.0,0.0,711.0,0.0,6.0,550.0,0.0,12,711.0,0.0
West Pokot County,1.0,50.0,0.0,0.0,0.0,0.0,44.0,12,0.0,0.0
